50 180
250 181
92 53
265 198
20 288
128 271
189 144
192 145
158 155
218 165
142 78
106 171
287 155
158 258
139 247
130 96
56 221
260 89
128 52
12 83
71 128
234 193
291 117
106 158
127 238
113 290
111 265
250 60
98 69
163 38
122 135
281 4
282 196
192 99
284 254
90 150
6 151
64 48
111 253
251 243
6 201
166 8
34 107
231 68
10 283
188 66
17 184
255 261
207 97
42 285
42 86
79 208
264 134
36 19
42 212
201 258
17 248
83 72
248 207
58 290
241 8
2 144
192 89
258 132
126 135
144 101
46 81
252 172
133 279
198 115
94 128
62 30
221 52
98 180
102 121
78 286
232 19
229 220
189 63
189 70
273 67
249 178
180 175
191 117
218 63
10 143
147 8
255 147
266 296
169 66
127 283
31 165
34 208
210 37
196 174
163 255
40 284
13 99
234 131
32 249
